Group,TypeCounts,Objectives,StateCounts
Non-Dominated,"{'Minimal': 1, 'Dragon': 2, 'QWSH': 1, 'TWDH': 1}","[-11.0, -12.0, -13.0, 323.0, 5.0]","{<RobotState.ACTIVE: (0, 'green')>: 4, <RobotState.DEFECTIVE: (2, 'purple')>: 1}"
Non-Dominated,"{'QWSH': 4, 'TWSH': 1, 'QWDH': 1}","[-27.0, -15.0, -18.0, 669.0, 105.45181006496577]","{<RobotState.DEFECTIVE: (2, 'purple')>: 5, <RobotState.ACTIVE: (0, 'green')>: 1}"
Non-Dominated,"{'TWDH': 2, 'Dragon': 1, 'QWDH': 2, 'TWSH': 1}","[-17.0, -24.0, -18.0, 583.0, 252.70512178168954]","{<RobotState.DEFECTIVE: (2, 'purple')>: 4, <RobotState.ACTIVE: (0, 'green')>: 2}"
Non-Dominated,"{'Minimal': 2, 'TWDH': 2, 'QWDH': 1}","[-8.0, -17.0, -11.0, 439.0, 38.601470508735446]","{<RobotState.DEFECTIVE: (2, 'purple')>: 3, <RobotState.ACTIVE: (0, 'green')>: 2}"
Non-Dominated,"{'TWDH': 5, 'Dragon': 2, 'Minimal': 2}","[-14.0, -31.0, -23.0, 701.0, 158.2887976972617]","{<RobotState.DEFECTIVE: (2, 'purple')>: 7, <RobotState.ACTIVE: (0, 'green')>: 2}"
Non-Dominated,"{'QWSH': 4, 'TWSH': 1, 'QWDH': 1}","[-27.0, -15.0, -18.0, 687.0, 95.45181006496577]","{<RobotState.DEFECTIVE: (2, 'purple')>: 5, <RobotState.ACTIVE: (0, 'green')>: 1}"
Non-Dominated,"{'Minimal': 1, 'Dragon': 3, 'TWDH': 1}","[-8.0, -12.0, -13.0, 264.0, 15.0]","{<RobotState.ACTIVE: (0, 'green')>: 3, <RobotState.DEFECTIVE: (2, 'purple')>: 2}"
Non-Dominated,"{'QWDH': 4, 'TWSH': 1, 'QWSH': 1}","[-24.0, -24.0, -18.0, 740.0, 159.23143635683198]","{<RobotState.DEFECTIVE: (2, 'purple')>: 5, <RobotState.ACTIVE: (0, 'green')>: 1}"
Non-Dominated,"{'TWDH': 3, 'Dragon': 1, 'QWDH': 1, 'Minimal': 1}","[-12.0, -23.0, -16.0, 487.0, 326.93320258100186]","{<RobotState.DEFECTIVE: (2, 'purple')>: 5, <RobotState.ACTIVE: (0, 'green')>: 1}"
Non-Dominated,"{'Dragon': 1, 'Minimal': 2, 'QWSH': 2}","[-12.0, -8.0, -11.0, 290.0, 96.78662428804208]","{<RobotState.DEFECTIVE: (2, 'purple')>: 4, <RobotState.ACTIVE: (0, 'green')>: 1}"
Non-Dominated,"{'Minimal': 3, 'Dragon': 1, 'TWDH': 1}","[-4.0, -10.0, -9.0, 221.0, 0.0]","{<RobotState.ACTIVE: (0, 'green')>: 5}"
Non-Dominated,"{'TWDH': 3, 'Dragon': 1, 'QWDH': 2, 'QWSH': 1}","[-21.0, -29.0, -21.0, 743.0, 142.39109580679576]","{<RobotState.DEFECTIVE: (2, 'purple')>: 5, <RobotState.ACTIVE: (0, 'green')>: 2}"
Non-Dominated,"{'TWDH': 3, 'Minimal': 4}","[-6.0, -19.0, -13.0, 419.0, 270.0326745966585]","{<RobotState.DEFECTIVE: (2, 'purple')>: 4, <RobotState.ACTIVE: (0, 'green')>: 3}"
Non-Dominated,"{'Minimal': 2, 'QWDH': 3}","[-12.0, -17.0, -11.0, 463.0, 36.21320343559643]","{<RobotState.ACTIVE: (0, 'green')>: 2, <RobotState.DEFECTIVE: (2, 'purple')>: 3}"
Non-Dominated,"{'Dragon': 2, 'Minimal': 2, 'TWDH': 1}","[-6.0, -11.0, -11.0, 222.0, 40.0]","{<RobotState.ACTIVE: (0, 'green')>: 2, <RobotState.DEFECTIVE: (2, 'purple')>: 3}"
K-means,"{'Dragon': 10, 'Minimal': 1}","[-20.0, -21.0, -31.0, 555.0, 92.1994969641607]","{<RobotState.DEFECTIVE: (2, 'purple')>: 10, <RobotState.ACTIVE: (0, 'green')>: 1}"
K-means,"{'Minimal': 4, 'TWDH': 1}","[-2.0, -9.0, -7.0, 188.0, 23.601470508735446]","{<RobotState.ACTIVE: (0, 'green')>: 3, <RobotState.DEFECTIVE: (2, 'purple')>: 2}"
K-means,"{'TWDH': 6, 'Minimal': 2}","[-12.0, -32.0, -20.0, 667.0, 211.38818593234743]","{<RobotState.DEFECTIVE: (2, 'purple')>: 5, <RobotState.ACTIVE: (0, 'green')>: 3}"
K-means,"{'TWDH': 3, 'Dragon': 1, 'QWDH': 1, 'Minimal': 1}","[-12.0, -23.0, -16.0, 487.0, 326.93320258100186]","{<RobotState.DEFECTIVE: (2, 'purple')>: 5, <RobotState.ACTIVE: (0, 'green')>: 1}"
K-means,"{'TWDH': 6, 'Minimal': 1}","[-12.0, -31.0, -19.0, 638.0, 91.54075625056542]","{<RobotState.DEFECTIVE: (2, 'purple')>: 5, <RobotState.ACTIVE: (0, 'green')>: 2}"
K-means,"{'TWDH': 3, 'Minimal': 4}","[-6.0, -19.0, -13.0, 429.0, 140.73343484991076]","{<RobotState.DEFECTIVE: (2, 'purple')>: 5, <RobotState.ACTIVE: (0, 'green')>: 2}"
K-means,"{'Dragon': 6, 'QWSH': 2, 'Minimal': 1}","[-22.0, -17.0, -25.0, 529.0, 200.96533300402027]","{<RobotState.DEFECTIVE: (2, 'purple')>: 8, <RobotState.ACTIVE: (0, 'green')>: 1}"
K-means,"{'Minimal': 3, 'TWDH': 1, 'QWDH': 1}","[-6.0, -13.0, -9.0, 300.0, 23.601470508735446]","{<RobotState.ACTIVE: (0, 'green')>: 3, <RobotState.DEFECTIVE: (2, 'purple')>: 2}"
K-means,"{'QWDH': 5, 'TWDH': 1}","[-22.0, -30.0, -18.0, 731.0, 109.34507664120184]","{<RobotState.DEFECTIVE: (2, 'purple')>: 5, <RobotState.ACTIVE: (0, 'green')>: 1}"
K-means,"{'QWSH': 3, 'Minimal': 3}","[-15.0, -9.0, -12.0, 427.0, 41.70820393249937]","{<RobotState.DEFECTIVE: (2, 'purple')>: 3, <RobotState.ACTIVE: (0, 'green')>: 3}"
