Group,TypeCounts,Objectives,StateCounts
Non-Dominated,"{'Dragon': 5, 'QWSH': 2, 'QWDH': 1}","[-24.0, -19.0, -24.0, 417.0, 186.16001399746514]","{<RobotState.ACTIVE: (0, 'green')>: 1, <RobotState.DEFECTIVE: (2, 'purple')>: 7}"
Non-Dominated,"{'Minimal': 2, 'QWDH': 2, 'TWDH': 2}","[-12.0, -22.0, -14.0, 353.0, 59.14213562373095]","{<RobotState.ACTIVE: (0, 'green')>: 2, <RobotState.DEFECTIVE: (2, 'purple')>: 4}"
Non-Dominated,"{'Minimal': 1, 'TWDH': 6}","[-12.0, -31.0, -19.0, 437.0, 173.37392652806426]","{<RobotState.ACTIVE: (0, 'green')>: 1, <RobotState.DEFECTIVE: (2, 'purple')>: 6}"
Non-Dominated,"{'Dragon': 6, 'Minimal': 2}","[-12.0, -14.0, -20.0, 263.0, 47.071067811865476]","{<RobotState.DEFECTIVE: (2, 'purple')>: 7, <RobotState.ACTIVE: (0, 'green')>: 1}"
Non-Dominated,"{'Minimal': 4, 'QWDH': 1}","[-4.0, -9.0, -7.0, 172.0, 0.0]","{<RobotState.ACTIVE: (0, 'green')>: 5}"
Non-Dominated,"{'TWSH': 2, 'QWSH': 3, 'QWDH': 1}","[-25.0, -15.0, -18.0, 457.0, 110.97495135372844]","{<RobotState.ACTIVE: (0, 'green')>: 2, <RobotState.DEFECTIVE: (2, 'purple')>: 4}"
Non-Dominated,"{'Minimal': 1, 'TWDH': 5, 'Dragon': 1}","[-12.0, -28.0, -19.0, 395.0, 200.40606430608162]","{<RobotState.ACTIVE: (0, 'green')>: 2, <RobotState.DEFECTIVE: (2, 'purple')>: 5}"
Non-Dominated,"{'Minimal': 3, 'TWDH': 1, 'QWDH': 1}","[-6.0, -13.0, -9.0, 226.0, 10.0]","{<RobotState.DEFECTIVE: (2, 'purple')>: 1, <RobotState.ACTIVE: (0, 'green')>: 4}"
Non-Dominated,"{'Dragon': 2, 'QWSH': 3, 'TWSH': 2}","[-25.0, -14.0, -21.0, 424.0, 147.6904166943351]","{<RobotState.DEFECTIVE: (2, 'purple')>: 6, <RobotState.ACTIVE: (0, 'green')>: 1}"
Non-Dominated,"{'Dragon': 4, 'TWDH': 3}","[-14.0, -23.0, -21.0, 368.0, 136.5685424949238]","{<RobotState.ACTIVE: (0, 'green')>: 1, <RobotState.DEFECTIVE: (2, 'purple')>: 6}"
Non-Dominated,"{'Minimal': 2, 'TWDH': 6}","[-12.0, -32.0, -20.0, 464.0, 171.30285871619878]","{<RobotState.DEFECTIVE: (2, 'purple')>: 7, <RobotState.ACTIVE: (0, 'green')>: 1}"
Non-Dominated,"{'TWDH': 2, 'Dragon': 3, 'QWSH': 1, 'QWDH': 1, 'Minimal': 1}","[-19.0, -24.0, -22.0, 427.0, 269.0534628448411]","{<RobotState.DEFECTIVE: (2, 'purple')>: 7, <RobotState.ACTIVE: (0, 'green')>: 1}"
K-means,"{'Minimal': 2, 'Dragon': 2, 'TWDH': 1}","[-6.0, -11.0, -11.0, 157.0, 11.70820393249937]","{<RobotState.ACTIVE: (0, 'green')>: 3, <RobotState.DEFECTIVE: (2, 'purple')>: 2}"
K-means,"{'Dragon': 2, 'QWSH': 4, 'TWSH': 1}","[-27.0, -14.0, -21.0, 443.0, 151.10682455933386]","{<RobotState.ACTIVE: (0, 'green')>: 2, <RobotState.DEFECTIVE: (2, 'purple')>: 5}"
K-means,"{'Dragon': 6, 'Minimal': 2}","[-12.0, -14.0, -20.0, 263.0, 47.071067811865476]","{<RobotState.DEFECTIVE: (2, 'purple')>: 7, <RobotState.ACTIVE: (0, 'green')>: 1}"
K-means,"{'Minimal': 1, 'TWDH': 5, 'Dragon': 1}","[-12.0, -28.0, -19.0, 395.0, 200.40606430608162]","{<RobotState.ACTIVE: (0, 'green')>: 2, <RobotState.DEFECTIVE: (2, 'purple')>: 5}"
K-means,"{'Minimal': 2, 'TWDH': 6, 'Dragon': 1}","[-14.0, -34.0, -23.0, 504.0, 105.07115894743539]","{<RobotState.DEFECTIVE: (2, 'purple')>: 6, <RobotState.ACTIVE: (0, 'green')>: 3}"
K-means,"{'QWDH': 3, 'TWDH': 1, 'Dragon': 1, 'TWSH': 1}","[-19.0, -24.0, -18.0, 420.0, 258.21038469671805]","{<RobotState.DEFECTIVE: (2, 'purple')>: 5, <RobotState.ACTIVE: (0, 'green')>: 1}"
K-means,"{'Dragon': 7, 'QWSH': 1}","[-19.0, -16.0, -24.0, 334.0, 90.48747567686422]","{<RobotState.DEFECTIVE: (2, 'purple')>: 7, <RobotState.ACTIVE: (0, 'green')>: 1}"
K-means,"{'Minimal': 4, 'QWDH': 1, 'TWDH': 1}","[-6.0, -14.0, -10.0, 209.0, 15.0]","{<RobotState.ACTIVE: (0, 'green')>: 3, <RobotState.DEFECTIVE: (2, 'purple')>: 3}"
K-means,"{'TWDH': 3, 'Dragon': 3, 'QWSH': 1, 'QWDH': 1}","[-21.0, -28.0, -24.0, 492.0, 220.26719310430036]","{<RobotState.DEFECTIVE: (2, 'purple')>: 6, <RobotState.ACTIVE: (0, 'green')>: 2}"
K-means,"{'Minimal': 4, 'Dragon': 1}","[-2.0, -6.0, -7.0, 85.0, 5.0]","{<RobotState.ACTIVE: (0, 'green')>: 4, <RobotState.DEFECTIVE: (2, 'purple')>: 1}"
